HLUTVERK,GLJ_ID,DNR,LAGNINGARAR,EIGANDI,dagsetning,X,Y,TENGINR,GREIN
Götuljós,85355,473,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359384,404870,243886,
Götuljós,85362,473,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359383,404847,243887,
Götuljós,85363,472,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359464,404879,243888,
Götuljós,85360,472,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359467.1,404857,243889,
Götuljós,75762,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360055.2626,404836.4861,80382,2
Götuljós,75760,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360088.5617,404807.5461,80382,2
Götuljós,75756,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360132.7595,404801.6928,80382,2
Götuljós,75763,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360125.1465,404786.6978,80382,2
Götuljós,75754,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360172.22,404800.0644,80382,2
Götuljós,75766,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360172.8212,404787.7671,80382,2
Götuljós,75755,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360212.33,404779.7555,80382,2
Götuljós,75773,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360256.2656,404771.2056,80382,2
Götuljós,84833,1501,2022,Reykjavíkurborg - eignasjóður,2023/01/11,369141.3,413358.8,18916,2
Götuljós,84840,1501,2022,Reykjavíkurborg - eignasjóður,2023/01/11,369152.4,413329.7,18916,2
Götuljós,84834,1501,2022,Reykjavíkurborg - eignasjóður,2023/01/11,369169.5,413303.9,18916,2
Götuljós,84835,1501,2022,Reykjavíkurborg - eignasjóður,2023/01/11,369185.9,413279.8,18916,2
Götuljós,84836,1501,2022,Reykjavíkurborg - eignasjóður,2023/01/11,369202.6,413255.1,18916,2
Götuljós,84837,1501,2022,Reykjavíkurborg - eignasjóður,2023/01/11,369219.488,413230.311,18916,2
Götuljós,27405,175,1994,Reykjavíkurborg - eignasjóður,1996/09/24,355734.237,407532.79,30835,1
Götuljós,67527,175,2006,Reykjavíkurborg - eignasjóður,2006/07/31,355732.286,407860.018,30835,3
Götuljós,77246,30,2020,Reykjavíkurborg - eignasjóður,2014/03/18,357864.5887,407951.1911,30833,2
Götuljós,85352,12,2023,Reykjavíkurborg - eignasjóður,2023/02/03,359598.8,408188.5,243884,
Götuljós,22364,608,1985,Reykjavíkurborg - eignasjóður,1994/01/17,364353.965,403977.117,30863,3
Götuljós,60360,1156,2000,Reykjavíkurborg - eignasjóður,2002/01/30,364765.103,405303.726,31412,1
Götuljós,73409,608,2009,Reykjavíkurborg - eignasjóður,2009/11/03,364281.279,403724.449,30863,2
Götuljós,79657,608,2018,Reykjavíkurborg - eignasjóður,2018/01/04,364305.8871,403838.7537,30863,3
Götuljós,24060,653,2022,Reykjavíkurborg - eignasjóður,1994/06/24,363787.187,406441.885,22533,
Götuljós,78533,437,2015,Reykjavíkurborg,2015/11/27,363690.575,404357.266,32218,2
Götuljós,78541,437,2015,Reykjavíkurborg,2015/11/27,363690.057,404476.433,32218,2
Götuljós,78535,437,2015,Reykjavíkurborg,2015/11/27,363704.036,404471.1,32218,2
Götuljós,85361,472,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359590,404859,243890,
Götuljós,85357,472,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359575,404838,243891,
Götuljós,85356,472,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359547,404837,243892,
Götuljós,85353,472,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359520,404832,243893,
Götuljós,85354,472,2022,Reykjavíkurborg - eignasjóður,2023/02/03,359696,404827,243895,
Götuljós,27731,498,1995,Reykjavíkurborg - eignasjóður,1996/02/19,360518.4949,404729.4434,80382,2
Götuljós,74336,498,2010,Reykjavíkurborg - eignasjóður,2010/06/22,360312.944,405072.7175,80382,1
Götuljós,17841,498,1993,Menntasvið Reykjavíkur,2002/11/15,360301.228,404844.778,80382,2
