Lóð,Heimtaugarskápur,Heimtaugarskápur XID,Auðkenni ljósastaurs,Ljósastaur XID,Gata,Staðsetning,Tegund viðfangs,Undirtegund,X (lengdargráða),Y (Breidd),GPS-hæð,X,Y,Dags. uppsett,Eigandi 2,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Framleiðandi,Birgir,Efni staurs,Litur staurs,Hæð staurs [m],Hefur topp/arm,Tegund topps/arms,Framleiðandi topps/arms,Söluaðili topps/arms,Tengill,Ljósleiðarapípa,Dags. burðarþolsprófunar,Framkvæmdaraðili burðarþolsprófunar,Tegund undirstöðu,Staða,Ástandseinkunn
,,,,30731,VIÐARRIMI,,,,,,,363575.4,407820.3,,,,,,,J,,5,,,,,,,,,,,
,,,,30732,VIÐARRIMI,,,,,,,363701.1,407793.3,,,,,,,J,,5,,,,,,,,,,,
,,,,30733,VIÐARRIMI,,,,,,,363757.2,407762.7,,,,,,,J,,5,,,,,,,,,,,
,,,,30734,VIÐARRIMI,,,,,,,363798.4,407737.4,,,,,,,J,,5,,,,,,,,,,,
,,,,30735,SUÐURHLÍÐ,,,,,,,357947.7,405353,,,,,,,J,,5,,,,,,,,,,,
,,,,30736,SUÐURHLÍÐ,,,,,,,357971.3,405314.9,,,,,,,J,,5,,,,,,,,,,,
,,,,30737,SUÐURHLÍÐ,,,,,,,358007,405288,,,,,,,J,,5,,,,,,,,,,,
,,,,30738,SUÐURHLÍÐ,,,,,,,358050,405275.5,,,,,,,J,,5,,,,,,,,,,,
,,,,30739,SUÐURHLÍÐ,,,,,,,358094.5,405268.8,,,,,,,J,,5,,,,,,,,,,,
,,,,30740,SUÐURHLÍÐ,,,,,,,358139,405262.1,,,,,,,J,,5,,,,,,,,,,,
,,,,30741,SUÐURHLÍÐ,,,,,,,358183.5,405255.4,,,,,,,J,,5,,,,,,,,,,,
,,,,30742,SUÐURHLÍÐ,,,,,,,358226.7,405242.7,,,,,,,J,,5,,,,,,,,,,,
,,,,30743,SUÐURHLÍÐ,,,,,,,358272.2,405232,,,,,,,J,,5,,,,,,,,,,,
,,,,30744,SUÐURHLÍÐ,,,,,,,358316.9,405241.5,,,,,,,J,,5,,,,,,,,,,,
