WKT,FDNR,Nafn,Lon,Lat,Allir
"POINT (-21.8949483 64.1230663)",138,Sléttuvegur 1A,-21.8949483,64.1230663,x
"POINT (-21.80999283 64.12731801)",139,Höfðabakki 7,-21.80999283,64.12731801,x
"POINT (-21.88787594 64.14282709)",140,Laugateigur 24,-21.88787594,64.14282709,x
"POINT (-21.90772417 64.13414437)",146,Miklabraut 84,-21.90772417,64.13414437,x
"POINT (-21.87228906 64.1408123)",148,Sigtún Skautasvel,-21.87228906,64.1408123,x
"POINT (-21.82281192 64.12779944)",154,Hyrjarhöfði,-21.82281192,64.12779944,x
"POINT (-21.79027742 64.15123371)",155,Álfaborgir 2,-21.79027742,64.15123371,x
"POINT (-21.79028551 64.14492092)",157,Mururimi 1a,-21.79028551,64.14492092,x
"POINT (-21.79262934 64.14163404)",160,Fífurimi 1a,-21.79262934,64.14163404,x
"POINT (-21.84825797 64.1029907)",162,Skógarsel 12,-21.84825797,64.1029907,x
"POINT (-21.711584 64.092186)",167,Hella,-21.711584,64.092186,x
"POINT (-21.97536282 64.14613741)",170,Granaskjól 29,-21.97536282,64.14613741,x
"POINT (-21.95239046 64.14238583)",173,Arngrímsgata 1,-21.95239046,64.14238583,x
"POINT (-21.96412107 64.14252819)",175,Kvisthagi _21,-21.96412107,64.14252819,x
"POINT (-21.95686169 64.15114813)",177,Seljavegur 32,-21.95686169,64.15114813,x
"POINT (-21.96767374 64.14923832)",182,Boðagrandi 1,-21.96767374,64.14923832,x
"POINT (-21.87670446 64.12328646)",184,Hólmgarður 22,-21.87670446,64.12328646,x
"POINT (-21.74730765 64.17731005)",185,Víðines,-21.74730765,64.17731005,x
"POINT (-21.85840929 64.14682427)",188,Vatnagarðar 12,-21.85840929,64.14682427,x
"POINT (-21.85452901 64.14507276)",189,Vatnagarðar 24,-21.85452901,64.14507276,x
"POINT (-21.81975221 64.15154591)",190,Gufunes - sorpa,-21.81975221,64.15154591,x
"POINT (-21.77987801 64.21480795)",200,Esjuberg,-21.77987801,64.21480795,x
"POINT (-21.79149663 64.11094751)",202,Eyktarás 26,-21.79149663,64.11094751,x
"POINT (-21.82022286 64.1074005)",207,Vesturberg 142,-21.82022286,64.1074005,x
"POINT (-21.95447824 64.12920882)",210,Baugatangi 1,-21.95447824,64.12920882,x
"POINT (-21.82227211 64.10505179)",214,Vesturberg 74,-21.82227211,64.10505179,x
"POINT (-21.48317488 64.21237707)",216,Stardalur,-21.48317488,64.21237707,x
"POINT (-21.79696275 64.15273061)",224,Dvergaborgir 1a,-21.79696275,64.15273061,x
"POINT (-21.94493737 64.15423883)",237,Grandabakki,-21.94493737,64.15423883,x
"POINT (-21.86750917 64.12664688)",241,Hlíðargerði 13,-21.86750917,64.12664688,x
"POINT (-21.85965412 64.15124035)",250,Korngarðar 10,-21.85965412,64.15124035,x
"POINT (-21.84069268 64.27282005)",251,Dalsmynni,-21.84069268,64.27282005,x
"POINT (-21.83703001 64.28048018)",258,Saurbær,-21.83703001,64.28048018,x
"POINT (-21.85417187 64.13480474)",260,Skútuvogur 13,-21.85417187,64.13480474,x
