WKT,FDNR,Nafn,Lon,Lat,Allir
"POINT (-21.88643927 64.12583628)",886,Stóragerði 46,-21.88643927,64.12583628,x
"POINT (-21.56639965 64.2070105)",889,Hrafnhólar,-21.56639965,64.2070105,x
"POINT (-21.777088 64.098214)",891,Reiðvað 1a,-21.777088,64.098214,x
"POINT (-21.88140236 64.14554173)",894,Reykjavegur,-21.88140236,64.14554173,x
"POINT (-21.78339251 64.11725249)",897,Klettháls 7a,-21.78339251,64.11725249,x
"POINT (-21.79377831 64.14811667)",899,sóleyjarrimi 29,-21.79377831,64.14811667,x
"POINT (-21.76851111 64.10231213)",1101,Helluvað 1a,-21.76851111,64.10231213,x
"POINT (-21.77588323 64.10235163)",1102,Bjallavað 1a,-21.77588323,64.10235163,x
"POINT (-21.69482489 64.1950959)",1109,Esjumelur 1b,-21.69482489,64.1950959,x
"POINT (-21.76258774 64.10147506)",1110,Hólmvað 2a,-21.76258774,64.10147506,x
"POINT (-21.91776681 64.14300029)",1143,Laugavegur 96,-21.91776681,64.14300029,x
"POINT (-21.89794924 64.14542222)",1150,Borgartún 26,-21.89794924,64.14542222,x
"POINT (-21.77987771 64.12314637)",1156,Krókháls 11,-21.77987771,64.12314637,x
"POINT (-21.86476784 64.15563871)",1162,skarfabakki,-21.86476784,64.15563871,x
"POINT (-21.74344788 64.13323178)",1163,Úlfarsbraut 48a,-21.74344788,64.13323178,x
"POINT (-21.74026437 64.13605356)",1178,Friggjarbrunnur 47,-21.74026437,64.13605356,x
"POINT (-21.89759633 64.14374918)",1187,sóltún 4a,-21.89759633,64.14374918,x
"POINT (-21.93494497 64.15037409)",1189,Faxagarður,-21.93494497,64.15037409,x
"POINT (-21.73739002 64.13273664)",1195,Úlfarsbraut 124a,-21.73739002,64.13273664,x
"POINT (-21.73316016 64.13545933)",1196,Urðarbrunnur 130a,-21.73316016,64.13545933,x
"POINT (-21.72507601 64.12779416)",1197,Haukdælabraut 56a,-21.72507601,64.12779416,x
"POINT (-21.72724739 64.12956407)",1198,Haukdælabraut 126b,-21.72724739,64.12956407,x
"POINT (-21.75982998 64.14480733)",1221,Blikastaðavegur 2 - 8,-21.75982998,64.14480733,x
"POINT (-21.94665171 64.15764672)",1227,Fiskislóð 37a,-21.94665171,64.15764672,x
"POINT (-21.736981 64.098531)",1233,Vegbrekkur 19a,-21.736981,64.098531,x
"POINT (-21.71138376 64.20839491)",1236,Mógilsá 1,-21.71138376,64.20839491,x
"POINT (-21.70636583 64.20780017)",1237,Mógilsá 23a,-21.70636583,64.20780017,x
"POINT (-21.84263241 64.13529733)",1243,Kjalarvogur 10a,-21.84263241,64.13529733,x
"POINT (-21.89782531 64.12137946)",1248,Skógarvegur 6a,-21.89782531,64.12137946,x
"POINT (-21.90960481 64.14614936)",1264,Guðrúnartún 8,-21.90960481,64.14614936,x
"POINT (-21.81220158 64.15222574)",1274,Gufunesvegur 1a,-21.81220158,64.15222574,x
"POINT (-21.80434368 64.22431962)",1278,Ljárdalur,-21.80434368,64.22431962,x
"POINT (-21.81315047 64.22976739)",1279,Vindheimar,-21.81315047,64.22976739,x
"POINT (-21.86547574 64.15147225)",1298,Klettagarðar 7a,-21.86547574,64.15147225,x
"POINT (-21.68169563 64.14172431)",1305,Jarðstöð Úlfarsdal,-21.68169563,64.14172431,x
"POINT (-21.79833541 64.22031655)",1310,Söðlagerði,-21.79833541,64.22031655,x
"POINT (-21.88326055 64.1395113)",1311,Suðurlandsbraut 8,-21.88326055,64.1395113,x
"POINT (-21.67003533 64.20482866)",1316,Vellir 3a,-21.67003533,64.20482866,x
"POINT (-21.66317048 64.20892091)",1317,Vellir,-21.66317048,64.20892091,x
"POINT (-21.64863609 64.20874636)",1318,Norðurgröf,-21.64863609,64.20874636,x
"POINT (-21.69685733 64.20701252)",1324,Kollafjörður laxeldi,-21.69685733,64.20701252,x
"POINT (-21.78875162 64.21529707)",1332,Móar,-21.78875162,64.21529707,x
"POINT (-21.79976939 64.2124531)",1333,Saltvík,-21.79976939,64.2124531,x
"POINT (-21.89995978 64.11732078)",864_01 1334,Fossvogur,-21.89995978,64.11732078,x
"POINT (-21.93795027 64.14825492)",1337,Pósthússtræti,-21.93795027,64.14825492,x
"POINT (-21.93559392 64.14790789)",1350,Tryggvagata 27,-21.93559392,64.14790789,x
"POINT (-21.73214158 64.13677515)",1352,Silfratjörn 5a,-21.73214158,64.13677515,x
"POINT (-21.73511026 64.13670253)",1353,Rökkvatjörn 1A,-21.73511026,64.13670253,x
"POINT (-21.77629573 64.12492964)",1357,Laxalón 1,-21.77629573,64.12492964,x
"POINT (-21.84883584 64.13252959)",1368,Dugguvogur 2 - bráðab.,-21.84883584,64.13252959,x
"POINT (-21.76388894 64.20442239)",1370,Móaberg,-21.76388894,64.20442239,x
"POINT (-21.75738904 64.18911398)",1391,Álfsnes,-21.75738904,64.18911398,x
"POINT (-21.88938835 64.14833879)",1400,Hallgerðargata,-21.88938835,64.14833879,x
"POINT (-21.80770419 64.15362419)",1416,Jöfursbás 4a,-21.80770419,64.15362419,x
"POINT (-21.8220898 64.13317038)",1420,Tangabryggja 13E,-21.8220898,64.13317038,x
"POINT (-21.92565209 64.13646229)",1429,Hvannagata,-21.92565209,64.13646229,x
"POINT (-21.77515061 64.21277501)",1438,Sætún,-21.77515061,64.21277501,x
"POINT (-21.84172072 64.26946238)",1444,Melgerði,-21.84172072,64.26946238,x
"POINT (-21.85571862 64.267923)",1445,Melavellir,-21.85571862,64.267923,x
"POINT (-21.86336791 64.25870728)",1446,Bakki,-21.86336791,64.25870728,x
"POINT (-21.95206716 64.1524102)",1478,Héðinsreitur. Mýrargötu,-21.95206716,64.1524102,x
"POINT (-21.69391114 64.19829124)",1501,Járnslétta 8a,-21.69391114,64.19829124,x
"POINT (-21.87252 64.120112)",471_02,Giljaland 1,-21.87252,64.120112,x
"POINT (-21.860444 64.120323)",497_02,Kelduland 1,-21.860444,64.120323,x
"POINT (-21.855473 64.11846)",535_02,Traðarland 14,-21.855473,64.11846,x
"POINT (-21.829763 64.238999)",610_02,Víkurgrund 10,-21.829763,64.238999,x
"POINT (-21.87228001 64.12014347)",471,Giljaland 1,-21.87228001,64.12014347,x
"POINT (-21.901462 64.140205)",246,Skipholt_50,-21.901462,64.140205,x
"POINT (-21.939053 64.140929)",1360,Hljómskálagarður,-21.939053,64.140929,x
"POINT (-21.923253 64.146605)",0043_02,Vatnsstígur 22,-21.923253,64.146605,x
"POINT (-21.839223 64.108152)",0485_02,Tungubakki 34,-21.839223,64.108152,x
"POINT (-21.847104 64.1362172)",662,Skútguvogur 14,-21.847104,64.1362172,x
"POINT (-21.930395 64.134795)",1364,Hlíðarendi 14,-21.930395,64.134795,x
"POINT (-21.849715 64.121826)",1517,Bústaðavegur 145a,-21.849715,64.121826,x
"POINT (-21.84128 64.098107)",0578_02,Hjallasel 20,-21.84128,64.098107,x
"POINT (-21.857556 64.105022)",1454_01,Álfabakki 4a,-21.857556,64.105022,x
