hs,heimilisfang,titill,verkefni,comment,hs_skipti,lon,lat,lukor
438,Rofabær 39,HS_438 - Rofabær 39,,,2023,-21.789631700,64.115479020,https://lukor.or.is/lukor/gotuljosakort.html?dnr=438
439,Fagribær 12,HS_439 - Fagribær 12,,,2022,-21.810721280,64.116631560,https://lukor.or.is/lukor/gotuljosakort.html?dnr=439
440,Laugardalshöll,HS_440 - Laugardalshöll,,,,-21.877848090,64.140611520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=440
441,Skipholt 70,HS_441 - Skipholt 70,,,,-21.897943400,64.137384790,https://lukor.or.is/lukor/gotuljosakort.html?dnr=441
442,Heiðargerði 1a,HS_442 - Heiðargerði 1a,,,2023,-21.882426750,64.129994260,https://lukor.or.is/lukor/gotuljosakort.html?dnr=442
443,Meistaravellir 10,HS_443 - Meistaravellir 10,Vesturbær,,2023,-21.962860290,64.147641950,https://lukor.or.is/lukor/gotuljosakort.html?dnr=443
444,Bolholt H.R,HS_444 - Bolholt H.R,,,,-21.894742770,64.139155910,https://lukor.or.is/lukor/gotuljosakort.html?dnr=444
445,Hólaberg 74,HS_445 - Hólaberg 74,,,2023,-21.808217730,64.105678460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=445
446,Stigahlíð 50,HS_446 - Stigahlíð 50,,,2023,-21.902256090,64.130606550,https://lukor.or.is/lukor/gotuljosakort.html?dnr=446
447,Bolholt 4,HS_447 - Bolholt 4,,,,-21.896753090,64.139971300,https://lukor.or.is/lukor/gotuljosakort.html?dnr=447
448,Skeifan 13,HS_448 - Skeifan 13,,,2023,-21.870728840,64.130548720,https://lukor.or.is/lukor/gotuljosakort.html?dnr=448
450,Njörvasund 12,HS_450 - Njörvasund 12,,,,-21.853285360,64.138287700,https://lukor.or.is/lukor/gotuljosakort.html?dnr=450
455,Skipasund 21,HS_455 - Skipasund 21,,,2022,-21.856894560,64.142226330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=455
456,Fremristekkur 12,HS_456 - Fremristekkur 12,,,2023,-21.833813900,64.111828300,https://lukor.or.is/lukor/gotuljosakort.html?dnr=456
463,Klapparstígur 7B,HS_463 - Klapparstígur 7B,Miðbær,,2023,-21.927887190,64.147413080,https://lukor.or.is/lukor/gotuljosakort.html?dnr=463
468,Eyjabakki 32,HS_468 - Eyjabakki 32,,,2023,-21.829850210,64.108424900,https://lukor.or.is/lukor/gotuljosakort.html?dnr=468
471_01,Efstaland 24,HS_471_01 - Efstaland 24,,,2022,-21.876084050,64.121689610,https://lukor.or.is/lukor/gotuljosakort.html?dnr=471_01
472,Brautarland 19,HS_472 - Brautarland 19,,,2022,-21.879789890,64.119661990,https://lukor.or.is/lukor/gotuljosakort.html?dnr=472
473,Brúnaland 1,HS_473 - Brúnaland 1,,,2023,-21.882731910,64.120577070,https://lukor.or.is/lukor/gotuljosakort.html?dnr=473
476,Eikjuvogur 18,HS_476 - Eikjuvogur 18,,,2022,-21.853029160,64.128850280,https://lukor.or.is/lukor/gotuljosakort.html?dnr=476
477,Sævarhöfði 31,HS_477 - Sævarhöfði 31,,,2022,-21.827537770,64.132375520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=477
478,Hverfisgata 113,HS_478 - Hverfisgata 113,,,2024,-21.914180160,64.143916050,https://lukor.or.is/lukor/gotuljosakort.html?dnr=478
479,Blesugróf H.R,HS_479 - Blesugróf H.R,,,,-21.827800580,64.115243510,https://lukor.or.is/lukor/gotuljosakort.html?dnr=479
480,Félagsheimili RR,HS_480 - Félagsheimili RR,,,max 15 lampar,-21.825714000,64.117225440,https://lukor.or.is/lukor/gotuljosakort.html?dnr=480
483,Árnagarður,HS_483 - Árnagarður,Vesturbær,,2023,-21.951468780,64.139135540,https://lukor.or.is/lukor/gotuljosakort.html?dnr=483
485,Tungubakki 34,HS_485 - Tungubakki 34,,,2023,-21.839223640,64.108154940,https://lukor.or.is/lukor/gotuljosakort.html?dnr=485
487,Hjaltabakki,HS_487 - Hjaltabakki,,,2022,-21.832264330,64.105735260,https://lukor.or.is/lukor/gotuljosakort.html?dnr=487
489,Tunguháls 2,HS_489 - Tunguháls 2,,,,-21.787171840,64.117930310,https://lukor.or.is/lukor/gotuljosakort.html?dnr=489
490,Hólmaslóð 12,HS_490 - Hólmaslóð 12,,,Faxaflóahafnir,-21.940501930,64.159860700,https://lukor.or.is/lukor/gotuljosakort.html?dnr=490
491,Þórufell 20a,HS_491 - Þórufell 20a,,,2022,-21.827833170,64.101613510,https://lukor.or.is/lukor/gotuljosakort.html?dnr=491
492,Breiðhöfði 10,HS_492 - Breiðhöfði 10,,,,-21.824991410,64.129352810,https://lukor.or.is/lukor/gotuljosakort.html?dnr=492
494,Stekkjarbakki H.R,HS_494 - Stekkjarbakki H.R,,,,-21.833165060,64.112690180,https://lukor.or.is/lukor/gotuljosakort.html?dnr=494
495,Grensásvegur 3,HS_495 - Grensásvegur 3,,,,-21.872603880,64.132486260,https://lukor.or.is/lukor/gotuljosakort.html?dnr=495
496,Hátún 10,HS_496 - Hátún 10,,,2023,-21.896114050,64.142128050,https://lukor.or.is/lukor/gotuljosakort.html?dnr=496
497_01,Hulduland 11a,HS_497_01 - Hulduland 11a,,,2022,-21.866390020,64.120529540,https://lukor.or.is/lukor/gotuljosakort.html?dnr=497_01
498,Helluland 19,HS_498 - Helluland 19,,,2022,-21.868336890,64.119163320,https://lukor.or.is/lukor/gotuljosakort.html?dnr=498
499,Skógarhlíð 10,HS_499 - Skógarhlíð 10,,,,-21.920261250,64.134270270,https://lukor.or.is/lukor/gotuljosakort.html?dnr=499
500,Tindasel 3,HS_500 - Tindasel 3,,,2022,-21.853584100,64.100076490,https://lukor.or.is/lukor/gotuljosakort.html?dnr=500
501,Lóuhólar 6,HS_501 - Lóuhólar 6,,,2023,-21.817157270,64.109541210,https://lukor.or.is/lukor/gotuljosakort.html?dnr=501
502,Furugerði 5,HS_502 - Furugerði 5,,,2023,-21.882131760,64.124540850,https://lukor.or.is/lukor/gotuljosakort.html?dnr=502
504,Bullauga,HS_504 - Bullauga,,,2022,-21.770989930,64.119567490,https://lukor.or.is/lukor/gotuljosakort.html?dnr=504
505,Giljasel 12,HS_505 - Giljasel 12,,,,-21.842952800,64.102111510,https://lukor.or.is/lukor/gotuljosakort.html?dnr=505
508,Dalsel 9,HS_508 - Dalsel 9,,,2023,-21.835731310,64.100710410,https://lukor.or.is/lukor/gotuljosakort.html?dnr=508
511,Borgartún 38,HS_511 - Borgartún 38,,,2023,-21.892002340,64.145881160,https://lukor.or.is/lukor/gotuljosakort.html?dnr=511
515,Kleifarsel 26,HS_515 - Kleifarsel 26,,,,-21.837876510,64.094561780,https://lukor.or.is/lukor/gotuljosakort.html?dnr=515
518,Vegmúli 4,HS_518 - Vegmúli 4,,,2022,-21.880256180,64.138283660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=518
522,Hraunberg 6,HS_522 - Hraunberg 6,,,2023,-21.813979270,64.105289990,https://lukor.or.is/lukor/gotuljosakort.html?dnr=522
535_01,Sævarland 20,HS_535_01 - Sævarland 20,,,2022,-21.857395750,64.118772770,https://lukor.or.is/lukor/gotuljosakort.html?dnr=535_01
537,Flúðasel 28,HS_537 - Flúðasel 28,,,2023,-21.831569090,64.097835700,https://lukor.or.is/lukor/gotuljosakort.html?dnr=537
539,Hamarshöfði 15a,HS_539 - Hamarshöfði 15a,,,2022,-21.814110830,64.128026540,https://lukor.or.is/lukor/gotuljosakort.html?dnr=539
541,Holtavegur,HS_541 - Holtavegur,,,,-21.846014820,64.142715020,https://lukor.or.is/lukor/gotuljosakort.html?dnr=541
542,Norðurgarður,HS_542 - Norðurgarður,,,Faxaflóahafnir,-21.936458440,64.155530880,https://lukor.or.is/lukor/gotuljosakort.html?dnr=542
548,Smárarimi,HS_548 - Smárarimi,,,2022,-21.798820110,64.148414290,https://lukor.or.is/lukor/gotuljosakort.html?dnr=548
549,Rimaflöt 9,HS_549 - Rimaflöt 9,,,2023,-21.801715670,64.144946030,https://lukor.or.is/lukor/gotuljosakort.html?dnr=549
566,Orrahólar 7,HS_566 - Orrahólar 7,,,,-21.809800050,64.108688890,https://lukor.or.is/lukor/gotuljosakort.html?dnr=566
568,Vesturgata 2,HS_568 - Vesturgata 2,,,2022,-21.941455290,64.148746210,https://lukor.or.is/lukor/gotuljosakort.html?dnr=568
570,Bæjarflöt 8a,HS_570 - Bæjarflöt 8a,,,2022,-21.802594550,64.142869540,https://lukor.or.is/lukor/gotuljosakort.html?dnr=570
578,Rangársel 20,HS_578 - Rangársel 20,,,,-21.845201640,64.097679900,https://lukor.or.is/lukor/gotuljosakort.html?dnr=578
581,Öldugrandi 1,HS_581 - Öldugrandi 1,Vesturbær,,2023,-21.982883230,64.150372080,https://lukor.or.is/lukor/gotuljosakort.html?dnr=581
582,Ægisgarður,HS_582 - Ægisgarður,,,Faxaflóahafnir,-21.941258680,64.152403720,https://lukor.or.is/lukor/gotuljosakort.html?dnr=582
583,Kringlan 7,HS_583 - Kringlan 7,,,2023,-21.896535990,64.131497440,https://lukor.or.is/lukor/gotuljosakort.html?dnr=583
588,járnháls 4,HS_588 - járnháls 4,,,,-21.794048420,64.122710220,https://lukor.or.is/lukor/gotuljosakort.html?dnr=588
590,Þvottalaugarvegur 25,HS_590 - Þvottalaugarvegur 25,,,2023,-21.868760180,64.138795520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=590
591,Ægissíða 50,HS_591 - Ægissíða 50,Vesturbær,,2022,-21.960566800,64.136948320,https://lukor.or.is/lukor/gotuljosakort.html?dnr=591
603,Holtabakki,HS_603 - Holtabakki,,,,-21.844136720,64.142266440,https://lukor.or.is/lukor/gotuljosakort.html?dnr=603
605,Höfðabakkabrú,HS_605 - Höfðabakkabrú,,,2023,-21.820974590,64.115142950,https://lukor.or.is/lukor/gotuljosakort.html?dnr=605
607,Silakvísl 8,HS_607 - Silakvísl 8,,,2023,-21.825339490,64.121440450,https://lukor.or.is/lukor/gotuljosakort.html?dnr=607
608,Reykás 13,HS_608 - Reykás 13,,,2022,-21.785815480,64.109807320,https://lukor.or.is/lukor/gotuljosakort.html?dnr=608
610_01,Esjugrund 40,HS_610_01 - Esjugrund 40,,,2022,-21.831647970,64.240027720,https://lukor.or.is/lukor/gotuljosakort.html?dnr=610_01
615,Kalkofnsvegur 3,HS_615 - Kalkofnsvegur 3,,,max 15 lampar,-21.931880620,64.148521330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=615
617,Selásbraut 103,HS_617 - Selásbraut 103,,,2023,-21.786189960,64.105539920,https://lukor.or.is/lukor/gotuljosakort.html?dnr=617
619,Hverfisgata 20,HS_619 - Hverfisgata 20,Miðbær,,2023,-21.931742520,64.146539220,https://lukor.or.is/lukor/gotuljosakort.html?dnr=619
621,Logafold 106a,HS_621 - Logafold 106a,,,2022,-21.789335200,64.133558070,https://lukor.or.is/lukor/gotuljosakort.html?dnr=621
622,Rafstöðvarvegur-Elliðaárbrú,HS_622 - Rafstöðvarvegur-Elliðaárbrú,,,,-21.839710830,64.123423690,https://lukor.or.is/lukor/gotuljosakort.html?dnr=622
623,Skútuvogur 4,HS_623 - Skútuvogur 4,,,,-21.847373590,64.139061030,https://lukor.or.is/lukor/gotuljosakort.html?dnr=623
628,Hverafold 30A,HS_628 - Hverafold 30A,,,2023,-21.803660530,64.135385220,https://lukor.or.is/lukor/gotuljosakort.html?dnr=628
629,Nethylur 2a,HS_629 - Nethylur 2a,,,2023,-21.814287700,64.121913610,https://lukor.or.is/lukor/gotuljosakort.html?dnr=629
630,Breiðhöfði 17,HS_630 - Breiðhöfði 17,,,,-21.826084860,64.131002600,https://lukor.or.is/lukor/gotuljosakort.html?dnr=630
634,Keldnaholt,HS_634 - Keldnaholt,,,,-21.764056490,64.139043890,https://lukor.or.is/lukor/gotuljosakort.html?dnr=634
636,Hvassaleiti 54,HS_636 - Hvassaleiti 54,,,,-21.892544180,64.128596750,https://lukor.or.is/lukor/gotuljosakort.html?dnr=636
640,Viðarhöfði 4,HS_640 - Viðarhöfði 4,,,,-21.797468960,64.125618920,https://lukor.or.is/lukor/gotuljosakort.html?dnr=640
642,Korngarðar 12,HS_642 - Korngarðar 12,,,Faxaflóahafnir,-21.858484400,64.151773290,https://lukor.or.is/lukor/gotuljosakort.html?dnr=642
644,Jöklafold 45,HS_644 - Jöklafold 45,,,2022,-21.794314900,64.136682010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=644
646,Faxafen 9,HS_646 - Faxafen 9,,,2023,-21.866050790,64.129430450,https://lukor.or.is/lukor/gotuljosakort.html?dnr=646
647,Árskógar 10,HS_647 - Árskógar 10,,,2023,-21.847109900,64.105791530,https://lukor.or.is/lukor/gotuljosakort.html?dnr=647
648,Réttarháls 1,HS_648 - Réttarháls 1,,,2023,-21.799412590,64.120160460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=648
650,Fannafold 113a,HS_650 - Fannafold 113a,,,2022,-21.802593250,64.138293570,https://lukor.or.is/lukor/gotuljosakort.html?dnr=650
651,Hjarðarhagi 2,HS_651 - Hjarðarhagi 2,,,2023,-21.953982410,64.139152500,https://lukor.or.is/lukor/gotuljosakort.html?dnr=651
653,Logafold 4,HS_653 - Logafold 4,,,2023,-21.797491570,64.134118440,https://lukor.or.is/lukor/gotuljosakort.html?dnr=653
658,Hamravík 14a,HS_658 - Hamravík 14a,,,2022,-21.780656690,64.152970320,https://lukor.or.is/lukor/gotuljosakort.html?dnr=658
659,Hlaðhamrar 2A,HS_659 - Hlaðhamrar 2A,,,2023,-21.816960620,64.139648840,https://lukor.or.is/lukor/gotuljosakort.html?dnr=659
660,Sigtún 40A,HS_660 - Sigtún 40A,,,,-21.890355520,64.141735220,https://lukor.or.is/lukor/gotuljosakort.html?dnr=660
662,Skútuvogur 14,HS_662 - Skútuvogur 14,,,,-21.847248000,64.136190000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=662
670,Dyrhamrar 30,HS_670 - Dyrhamrar 30,,,2023,-21.810961820,64.137791180,https://lukor.or.is/lukor/gotuljosakort.html?dnr=670
674,Korpúlfsstaðavegur,HS_674 - Korpúlfsstaðavegur,,,2023,-21.763472990,64.153816660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=674
678,Viðey,HS_678 - Viðey,,,,-21.852414320,64.162871870,https://lukor.or.is/lukor/gotuljosakort.html?dnr=678
680,Eggertsgata,HS_680 - Eggertsgata,Vesturbær,,2023,-21.953708140,64.136067750,https://lukor.or.is/lukor/gotuljosakort.html?dnr=680
684,Miðhús 2A,HS_684 - Miðhús 2A,,,2023,-21.772286160,64.136109920,https://lukor.or.is/lukor/gotuljosakort.html?dnr=684
688,Bústaðarvegur 7,HS_688 - Bústaðarvegur 7,,,2023,-21.906415870,64.127471630,https://lukor.or.is/lukor/gotuljosakort.html?dnr=688
693,Fiskislóð 53,HS_693 - Fiskislóð 53,,,Faxaflóahafnir,-21.944406650,64.156307120,https://lukor.or.is/lukor/gotuljosakort.html?dnr=693
695,Dalhús 25,HS_695 - Dalhús 25,,,2023,-21.785191680,64.138570990,https://lukor.or.is/lukor/gotuljosakort.html?dnr=695
696,Hlíðarhús 9,HS_696 - Hlíðarhús 9,,,2023,-21.777628090,64.138838910,https://lukor.or.is/lukor/gotuljosakort.html?dnr=696
702,Blikastaðavegur 10,HS_702 - Blikastaðavegur 10,,,,-21.751965830,64.147476390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=702
707,Borgarsjúkrahús,HS_707 - Borgarsjúkrahús,,,,-21.890255840,64.121895680,https://lukor.or.is/lukor/gotuljosakort.html?dnr=707
709,Stórhöfði 23,HS_709 - Stórhöfði 23,,,2023,-21.811700000,64.128820000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=709
712,Hallveigarstígur 7,HS_712 - Hallveigarstígur 7,Miðbær,,2023,-21.933295590,64.145406990,https://lukor.or.is/lukor/gotuljosakort.html?dnr=712
716,Aðalstræti 8,HS_716 - Aðalstræti 8,,,,-21.942488360,64.148018030,https://lukor.or.is/lukor/gotuljosakort.html?dnr=716
720,Breiðholtsbraut-brú,HS_720 - Breiðholtsbraut-brú,,,,-21.799067510,64.097080960,https://lukor.or.is/lukor/gotuljosakort.html?dnr=720
727,Skerplugata 1A,HS_727 - Skerplugata 1A,Vesturbær,,2023,-21.950036800,64.134375720,https://lukor.or.is/lukor/gotuljosakort.html?dnr=727
728,Starengi 22,HS_728 - Starengi 22,,,2023,-21.774766910,64.150764510,https://lukor.or.is/lukor/gotuljosakort.html?dnr=728
733,Fossaleinir 13,HS_733 - Fossaleinir 13,,,2023,-21.770715310,64.144855390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=733
736,Tryggvagata 17,HS_736 - Tryggvagata 17,,,,-21.940740550,64.149441570,https://lukor.or.is/lukor/gotuljosakort.html?dnr=736
737,Barðastaðir 1,HS_737 - Barðastaðir 1,,,2022,-21.751227900,64.156646030,https://lukor.or.is/lukor/gotuljosakort.html?dnr=737
771,Básabryggja 19,HS_771 - Básabryggja 19,,,2022,-21.815677090,64.132056070,https://lukor.or.is/lukor/gotuljosakort.html?dnr=771
783,Fitjakot,HS_783 - Fitjakot,,,2024,-21.693427680,64.188998460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=783
787,Lambhagavegur 17A,HS_787 - Lambhagavegur 17A,,,,-21.758599820,64.136128560,https://lukor.or.is/lukor/gotuljosakort.html?dnr=787
788,Lambhagi Gróðrarstöð,HS_788 - Lambhagi Gróðrarstöð,,,2022,-21.752493720,64.133220130,https://lukor.or.is/lukor/gotuljosakort.html?dnr=788
789,Sæbraut. Laugarnestangi,HS_789 - Sæbraut. Laugarnestangi,,,2022,-21.886261570,64.151581130,https://lukor.or.is/lukor/gotuljosakort.html?dnr=789
793,Vallá,HS_793 - Vallá,,,2024,-21.818721690,64.236712110,https://lukor.or.is/lukor/gotuljosakort.html?dnr=793
796,Norðurgrund,HS_796 - Norðurgrund,,,,-21.835789990,64.242170180,https://lukor.or.is/lukor/gotuljosakort.html?dnr=796
799,Öskjuhlíð II,HS_799 - Öskjuhlíð II,,,,-21.915516420,64.129111040,https://lukor.or.is/lukor/gotuljosakort.html?dnr=799
800,Maríubaugur 125A,HS_800 - Maríubaugur 125A,,,2023,-21.763942040,64.126679880,https://lukor.or.is/lukor/gotuljosakort.html?dnr=800
801,Ólafsgeisli 57a,HS_801 - Ólafsgeisli 57a,,,2022,-21.765108140,64.124020140,https://lukor.or.is/lukor/gotuljosakort.html?dnr=801
803,Kirkjustétt 1A,HS_803 - Kirkjustétt 1A,,,2023,-21.754511710,64.126599430,https://lukor.or.is/lukor/gotuljosakort.html?dnr=803
808,Klettagarðar,HS_808 - Klettagarðar,,,,-21.873367570,64.155432600,https://lukor.or.is/lukor/gotuljosakort.html?dnr=808
810,Naustanes,HS_810 - Naustanes,,,2024,-21.706836800,64.201020490,https://lukor.or.is/lukor/gotuljosakort.html?dnr=810
813,Varmidalur III,HS_813 - Varmidalur III,,,max 15 lampar,-21.680451020,64.193006610,https://lukor.or.is/lukor/gotuljosakort.html?dnr=813
841,Þorláksgeisli 41a,HS_841 - Þorláksgeisli 41a,,,2022,-21.750420230,64.124526560,https://lukor.or.is/lukor/gotuljosakort.html?dnr=841
842,Jónsgeisli 6A,HS_842 - Jónsgeisli 6A,,,2023,-21.749294950,64.128880020,https://lukor.or.is/lukor/gotuljosakort.html?dnr=842
844,Þórðarsveigur 12A,HS_844 - Þórðarsveigur 12A,,,2023,-21.744427230,64.126845420,https://lukor.or.is/lukor/gotuljosakort.html?dnr=844
845,Stórhöfði 9,HS_845 - Stórhöfði 9,,,2023,-21.820619440,64.129147580,https://lukor.or.is/lukor/gotuljosakort.html?dnr=845
861,Gvendargeisli 13A,HS_861 - Gvendargeisli 13A,,,2022,-21.739487000,64.126066000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=861
862,Vínlandsleið 18,HS_862 - Vínlandsleið 18,,,,-21.762716500,64.130385700,https://lukor.or.is/lukor/gotuljosakort.html?dnr=862
869,Stakkahlíð 1,HS_869 - Stakkahlíð 1,,,2023,-21.903539850,64.137395390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=869
884,Laugarásvegur 45,HS_884 - Laugarásvegur 45,,,2022,-21.867412690,64.142684200,https://lukor.or.is/lukor/gotuljosakort.html?dnr=884
886,Stóragerði 46,HS_886 - Stóragerði 46,,,2023,-21.886439270,64.125836280,https://lukor.or.is/lukor/gotuljosakort.html?dnr=886
889,Hrafnhólar,HS_889 - Hrafnhólar,,,2024,-21.566399650,64.207010500,https://lukor.or.is/lukor/gotuljosakort.html?dnr=889
891,Reiðvað 1a,HS_891 - Reiðvað 1a,,,2022,-21.777095670,64.098214800,https://lukor.or.is/lukor/gotuljosakort.html?dnr=891
894,Reykjavegur,HS_894 - Reykjavegur,,,,-21.881402360,64.145541730,https://lukor.or.is/lukor/gotuljosakort.html?dnr=894
897,Klettháls 7a,HS_897 - Klettháls 7a,,,2022,-21.783392510,64.117252490,https://lukor.or.is/lukor/gotuljosakort.html?dnr=897
899,sóleyjarrimi 29,HS_899 - sóleyjarrimi 29,,,2022,-21.793778310,64.148116670,https://lukor.or.is/lukor/gotuljosakort.html?dnr=899
1101,Helluvað 1a,HS_1101 - Helluvað 1a,,,2022,-21.768511110,64.102312130,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1101
1102,Bjallavað 1a,HS_1102 - Bjallavað 1a,,,2023,-21.775883230,64.102351630,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1102
1109,Esjumelur 1b,HS_1109 - Esjumelur 1b,,,,-21.694824890,64.195095900,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1109
1110,Hólmvað 2a,HS_1110 - Hólmvað 2a,,,2022,-21.762587740,64.101475060,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1110
1143,Laugavegur 96,HS_1143 - Laugavegur 96,,,2022,-21.917766810,64.143000290,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1143
1150,Borgartún 26,HS_1150 - Borgartún 26,,,,-21.897949240,64.145422220,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1150
1156,Krókháls 11,HS_1156 - Krókháls 11,,,2022,-21.779877710,64.123146370,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1156
1162,skarfabakki,HS_1162 - skarfabakki,,,Faxaflóahafnir,-21.864767840,64.155638710,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1162
1163,Úlfarsbraut 48a,HS_1163 - Úlfarsbraut 48a,,,2023,-21.743447880,64.133231780,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1163
1178,Friggjarbrunnur 47,HS_1178 - Friggjarbrunnur 47,,,2023,-21.740264370,64.136053560,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1178
1187,sóltún 4a,HS_1187 - sóltún 4a,,,,-21.897596330,64.143749180,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1187
1189,Faxagarður,HS_1189 - Faxagarður,,,Faxaflóahafnir,-21.934944970,64.150374090,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1189
1195,Úlfarsbraut 124a,HS_1195 - Úlfarsbraut 124a,,,2023,-21.737390020,64.132736640,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1195
1196,Urðarbrunnur 130a,HS_1196 - Urðarbrunnur 130a,,,2022,-21.733160160,64.135459330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1196
1197,Haukdælabraut 56a,HS_1197 - Haukdælabraut 56a,,,2022,-21.725076010,64.127794160,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1197
1198,Haukdælabraut 126b,HS_1198 - Haukdælabraut 126b,,,2022,-21.727247390,64.129564070,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1198
1221,Blikastaðavegur 2 - 8,HS_1221 - Blikastaðavegur 2 - 8,,,2022,-21.759829980,64.144807330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1221
1227,Fiskislóð 37a,HS_1227 - Fiskislóð 37a,,,Faxaflóahafnir,-21.946651710,64.157646720,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1227
1233,Vegbrekkur 19a,HS_1233 - Vegbrekkur 19a,,,,-21.736957660,64.098554730,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1233
1236,Mógilsá 1,HS_1236 - Mógilsá 1,,,max 15 lampar,-21.711383760,64.208394910,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1236
1237,Mógilsá 23a,HS_1237 - Mógilsá 23a,,,max 15 lampar,-21.706365830,64.207800170,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1237
1243,Kjalarvogur 10a,HS_1243 - Kjalarvogur 10a,,,,-21.842632410,64.135297330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1243
1248,Skógarvegur 6a,HS_1248 - Skógarvegur 6a,,,,-21.897825310,64.121379460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1248
1264,Guðrúnartún 8,HS_1264 - Guðrúnartún 8,,,,-21.909604810,64.146149360,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1264
1274,Gufunesvegur 1a,HS_1274 - Gufunesvegur 1a,,,,-21.812201580,64.152225740,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1274
1278,Ljárdalur,HS_1278 - Ljárdalur,,,max 15 lampar,-21.804343680,64.224319620,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1278
1279,Vindheimar,HS_1279 - Vindheimar,,,max 15 lampar,-21.813150470,64.229767390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1279
1298,Klettagarðar 7a,HS_1298 - Klettagarðar 7a,,,,-21.865475740,64.151472250,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1298
1305,Jarðstöð Úlfarsdal,HS_1305 - Jarðstöð Úlfarsdal,,,max 15 lampar,-21.681695630,64.141724310,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1305
1310,Söðlagerði,HS_1310 - Söðlagerði,,,2024,-21.798335410,64.220316550,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1310
1311,Suðurlandsbraut 8,HS_1311 - Suðurlandsbraut 8,,,,-21.883260550,64.139511300,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1311
1316,Vellir 3a,HS_1316 - Vellir 3a,,,max 15 lampar,-21.670035330,64.204828660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1316
1317,Vellir,HS_1317 - Vellir,,,max 15 lampar,-21.663170480,64.208920910,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1317
1318,Norðurgröf,HS_1318 - Norðurgröf,,,max 15 lampar,-21.648636090,64.208746360,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1318
1324,Kollafjörður laxeldi,HS_1324 - Kollafjörður laxeldi,,,max 15 lampar,-21.696857330,64.207012520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1324
1332,Móar,HS_1332 - Móar,,,max 15 lampar,-21.788751620,64.215297070,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1332
1333,Saltvík,HS_1333 - Saltvík,,,max 15 lampar,-21.799769390,64.212453100,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1333
1334,Fossvogur,HS_1334 - Fossvogur,,,,-21.899959780,64.117320780,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1334
1337,Pósthússtræti,HS_1337 - Pósthússtræti,Miðbær,,2022,-21.937950270,64.148254920,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1337
1350,Tryggvagata 27,HS_1350 - Tryggvagata 27,Miðbær,Arnarhóll sólúr,2023,-21.935593920,64.147907890,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1350
